codigo,fecha_radicacion,nombre_proyecto,valor_inicial_proyecto,valor_adicional,valor_total_proyecto,sector,municipio,entidad_presenta,estado_proyecto
50001,2005-01-21,Implementación y fortalecimiento de una (1) unidad de atención y orientación UAO a la población desplazada de Soledad.,82060000,0,82060000,Convivencia,Soledad,Interior,RECURSOS ASIGNADOS
50002,2005-01-24,Adecuación cancha múltiple I.E. Bto femenino de Sabanalarga,109140000,0,109140000,Educación,Sabanalarga,Sabanalarga,ESTUDIO
50003,2005-01-24,Ampliación salón múltiple I.E. Bto femenino de Sabanalarga,207093774,0,207093774,Educación,Sabanalarga,Sabanalarga,VIABLE
50004,2005-02-01,Asistencia técnica y capacitacón 22 mpios conformación comités de atención pob. Desplazada asentada en el Dpto.,25948000,0,25948000,Convivencia,Departamento,Interior,RECURSOS ASIGNADOS
50005,2005-02-02,Construcción Red trenzada Barrio Villa Paraiso Municipio de Piojó.,21378182,0,21378182,Electrificación,Piojó,Infraestructura,RECURSOS ASIGNADOS
50006,2005-02-10,Adecuación redes electricas Barrio Villa Carmen Segunda Etapa. Sabanalarga.,21489439,0,21489439,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50007,2005-02-11,Aplicación y fortalecimiento institucional a los 22 mpios del Dpto del Atlco.,51600000,0,51600000,Convivencia,Departamento,Interior,RECURSOS ASIGNADOS
50008,2005-02-14,Adecuación de las instalaciones físicas sede del DAS seccional Barranquilla.,33729004,0,33729004,Seguridad,Barranquilla,Interior,RECURSOS ASIGNADOS
50009,2005-02-22,Proyecto electrificación Barrio Los Nogales de Sabanalarga.,24278750,0,24278750,Electrificación,Sabanalarga,Infraestructura,VIABLE
50010,2005-02-23,Servicio de ensamblaje y puesta en funcionamiento del equipo de perforación de pozos profundos para el Dpto del Atlántico.,187375000,0,187375000,Agua,Departamento,Agua Potable,RECURSOS ASIGNADOS
50011,2005-02-23,Electrificación Barrio Ancianato de Sabanalarga.,22874000,0,22874000,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50012,2005-02-23,Adecuación infraestructura física I.E. Femenino de Sabanalarga,73291371,0,73291371,Educación,Sabanalarga,Sabanalarga,VIABLE
50013,2005-02-23,Adecuación redes electricas calle 5 cra 5 Corregimiento Cuatro Bocas de Tubará.,22887138,0,22887138,Electrificación,Tubará,Infraestructura,RECURSOS ASIGNADOS
50014,2005-02-23,Recuperación y construcción de la línea primaria tres fases en Cuatro Bocas de Tubará.,22881853,0,22881853,Electrificación,Tubará,Infraestructura,RECURSOS ASIGNADOS
50015,2005-02-23,Adecuación redes electricas trenzada en el sector La Cuchilla de Tubará.,22884885,0,22884885,Electrificación,Tubará,Infraestructura,RECURSOS ASIGNADOS
50016,2005-02-25,Mantenimiento de red primaria en la vereda Palmar Oscuro de Sabanalarga.,22869206,0,22869206,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50017,2005-02-25,Difusión y promoción de los derrechos humanos y resolucion pacifica de conflictos de la población juvenil colectivos de paz departamento del Atlántico.,50000000,0,50000000,Convivencia,Departamento,Interior,RECURSOS ASIGNADOS
